id,address,bStatus,createTime,gMapLink,latitude,longitude,name,noOfReviews,phone,rating,site,timings,distance_from_reference_km
00InvJa6NE6mrxeNAXJ5,"303, 3rd Floor, National Corporate Park, Great Eastern Rd, opp. Maruti Business Park, Geeta Nagar, Choubey Colony, Ramkund, Raipur, Chhattisgarh 492001, India",OPERATIONAL,2025-07-19T09:32:15+00:00,https://maps.google.com/?cid=16771366011528155050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,21.244234,81.6111283,Art Eyes Raipur,55,+91 98113 97520,4.7,http://www.arteyesindia.com/,"Monday: 10:30 AM – 4:30 PM,Tuesday: 10:30 AM – 4:30 PM,Wednesday: 10:30 AM – 4:30 PM,Thursday: 10:30 AM – 4:30 PM,Friday: 10:30 AM – 4:30 PM,Saturday: 10:30 AM – 2:00 PM,Sunday: Closed",929.35
072sTNFc3xfP0JtDFF91,"Ug4, shanti madhuvan plaza, Delhi Gate Rd, near pushpanjali hospital, Hariparwat, Professors Colony, Civil Lines, Agra, Uttar Pradesh 282010, India",OPERATIONAL,2025-07-19T02:32:15+00:00,https://maps.google.com/?cid=13519867262749625600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,27.1971687,77.9965037,Drsawhney's superspeciality Dental and orthodontic centre,23,+91 84491 59999,4.8,,"Monday: 11:00 AM – 7:30 PM,Tuesday: 11:00 AM – 7:30 PM,Wednesday: 11:00 AM – 7:30 PM,Thursday: Closed,Friday: 11:00 AM – 7:30 PM,Saturday: 11:00 AM – 7:30 PM,Sunday: 11:00 AM – 7:30 PM",175.1
0Riwg4bCb5H4U9do0eFL,"No 2, 198/2C (K1, near AIIMS Road, Saket Nagar, Habib Ganj, Bhopal, Madhya Pradesh 462024, India",OPERATIONAL,2025-07-19T22:32:34+00:00,https://maps.google.com/?cid=18412216517397489888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,23.2126391,77.4580249,In Motion Prosthetics & Orthotics Center (Artificial Limb Center),81,+91 99909 23923,5.0,http://www.inmotionprosthetic.com/,"Monday: 9:30 AM – 7:00 PM,Tuesday: 9:30 AM – 7:00 PM,Wednesday: 9:30 AM – 7:00 PM,Thursday: 9:30 AM – 7:00 PM,Friday: 9:30 AM – 7:00 PM,Saturday: 9:30 AM – 7:00 PM,Sunday: Closed",598.91
0cJ6jQTvbPsuiheP9Fwr,"4-2-222 10, 11, Bhavani ganesh Complex, near Auto Matrix Showroom, Bejai, Mangaluru, Karnataka 575004, India",OPERATIONAL,2025-07-19T10:32:11+00:00,https://maps.google.com/?cid=8693457071230014283&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,12.8856606,74.8440274,Fit Well Artificial Limb Center,51,+91 87470 32865,4.8,https://www.fitwelllimbcenter.in/,"Monday: 10:00 AM – 7:00 PM,Tuesday: 10:00 AM – 7:00 PM,Wednesday: 10:00 AM – 7:00 PM,Thursday: 10:00 AM – 7:00 PM,Friday: 10:00 AM – 7:00 PM,Saturday: 10:00 AM – 7:00 PM,Sunday: Closed",1758.59
0g7256o3rSdmKlmMH96z,"GV3Q+87P, Wanowrie, Pune, Maharashtra 411040, India",OPERATIONAL,2025-07-18T16:32:09+00:00,https://maps.google.com/?cid=14280157526559127940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,18.5033444,73.8881915,"Artificial Limb Centre, Pune ( ALC Pune )",68,+91 20 2633 3817,4.5,https://afmc.nic.in/Departments/Hospitals/alc.html,"Monday: 8:00 AM – 4:30 PM,Tuesday: 8:00 AM – 4:30 PM,Wednesday: 8:00 AM – 1:30 PM,Thursday: 8:00 AM – 4:30 PM,Friday: 8:00 AM – 4:30 PM,Saturday: 8:00 AM – 1:30 PM,Sunday: Closed",1169.78
0ggB27T4kT1aGVGok3xL,"8-2-248/1/7/24, Mothi Nagar, Nagarjuna Hills, Punjagutta, Hyderabad, Telangana 500082, India",OPERATIONAL,2025-07-18T12:32:22+00:00,https://maps.google.com/?cid=9600412883979942937&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,17.4269354,78.4506235,ENDOLITE INDIA LIMITED (HYDERABAD),180,+91 93924 85609,4.6,https://www.endoliteindia.com/,"Monday: 9:30 AM – 6:00 PM,Tuesday: 9:30 AM – 6:00 PM,Wednesday: 9:30 AM – 6:00 PM,Thursday: 9:30 AM – 6:00 PM,Friday: 9:30 AM – 6:00 PM,Saturday: 9:30 AM – 6:00 PM,Sunday: Closed",1245.41
0nP7D4MLGypTeOv0KgMS,"Om Hospital 1 A 12, New Rajeev Gandhi Nagar, SFS Colony, Talwandi, Kota, Rajasthan 324005, India",OPERATIONAL,2025-07-18T14:32:10+00:00,https://maps.google.com/?cid=18255605811602268579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,25.1533404,75.8496408,Dr. Manish Garg- Orthopedist In Kota,9,,3.4,https://drmanishgarg.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,"Monday: 10:00 AM – 8:00 PM,Tuesday: 10:00 AM – 8:00 PM,Wednesday: 10:00 AM – 8:00 PM,Thursday: 10:00 AM – 8:00 PM,Friday: 10:00 AM – 8:00 PM,Saturday: 10:00 AM – 8:00 PM,Sunday: 10:00 AM – 8:00 PM",406.52
0ryAj8Aqe315c0DSWaNk,"Old No 1350, New No 24, 1st Floor, 32nd E Cross Rd, 4th T Block East, Jayanagar, Bengaluru, Karnataka 560041, India",OPERATIONAL,2025-07-18T11:32:08+00:00,https://maps.google.com/?cid=14571910319375340359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,12.9269017,77.5957233,Kshemaa prosthetics and orthotics,305,+91 88847 77562,4.9,https://kshemaa.in/,"Monday: 10:00 AM – 9:00 PM,Tuesday: 10:00 AM – 9:00 PM,Wednesday: 10:00 AM – 9:00 PM,Thursday: 10:00 AM – 9:00 PM,Friday: 10:00 AM – 9:00 PM,Saturday: 10:00 AM – 9:00 PM,Sunday: 10:00 AM – 9:00 PM",1737.32
12JyR4whOkg8zd0bJ3JN,"Prasanth Nagar-Pongumoodu Rd, Kochulloor, Ulloor, Thiruvananthapuram, Kerala 695011, India",OPERATIONAL,2025-07-19T03:32:20+00:00,https://maps.google.com/?cid=292845514575389000&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,8.534947,76.9277224,L. MUTHUKRISHNAN'S ORTHOTIC APPLIANCES CENTRE,35,+91 471 255 1706,3.5,,"Monday: 9:30 AM – 7:30 PM,Tuesday: 9:30 AM – 7:30 PM,Wednesday: 9:30 AM – 7:30 PM,Thursday: 9:30 AM – 7:30 PM,Friday: 9:30 AM – 7:30 PM,Saturday: 9:30 AM – 7:30 PM,Sunday: Closed",2222.86
15sVkuummFMDfVSxQHHu,"1/1, 1st Cross Rd, opposite Sharada Health Care, Shankarapuram, Shankarapura, Bengaluru, Karnataka 560004, India",OPERATIONAL,2025-07-18T11:32:35+00:00,https://maps.google.com/?cid=5895809448484935616&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,12.9531451,77.5719375,Ashwini Artificial Limb Center,6,+91 98454 35339,4.8,,"Monday: 12:00 – 9:00 PM,Tuesday: 12:00 – 9:00 PM,Wednesday: 12:00 – 9:00 PM,Thursday: 12:00 – 9:00 PM,Friday: 12:00 – 9:00 PM,Saturday: 12:00 – 9:00 PM,Sunday: Closed",1734.36
